11283,"BENCHMARK EGGNOG","","175L",20,6,10.50000,10.50000,9900,1,1128,,1128,11,,10,30.0,,,"0000","",94.04,,,,,,,,,,12,6,,,,,6,6,,,,,170.32,,128.40,,1000,,,,,18.00,112316,,,1
11284,"BENCHMARK EGGNOG","","750M",40,12,9.00000,9.00000,9900,1,1128,42,1128,11,42,10,30.0,,,"0000","",98.51,,,12,,,,,12,,,,,,,12,12,,,,,,,,,,1000,,,,,18.00,103016,,42,1
11288,"BENCHMARK PEACH","","750M",40,12,9.00000,9.00000,9900,1,1128,7,1128,11,7,10,70.0,,,"0000","088004018320",120.92,,,155,,,,-3,128,24,145,191,,,,,191,36,.78,,224.06,177.98,1382.44,697.22,1075.30,578.51,1000,,,,,18.00,13016,,7,1
11292,"BENCHMARK 8 YEAR","","175L",20,6,10.50000,10.50000,9900,1,1129,3,1129,11,3,10,80.0,,,"0000","088004020828",98.53,,,153,1050,,,,,779,3622,414,720,,,-13,1121,968,30.92,,10839.51,8974.50,52398.30,45400.53,42801.47,36789.67,1000,,,900,,18.00,50217,900,3,1
11294,"BENCHMARK 8 YEAR","","1LTR",30,12,12.00000,12.00000,9900,1,1129,3,1129,11,3,10,80.0,,,"0000","088004020835",134.37,,,520,,,,-1,490,29,255,421,156,,,,577,57,3.02,,361.10,205.90,3003.78,3481.29,1810.15,2143.45,1000,,,156,,18.00,50217,156,3,1
11295,"BENCHMARK 8 YEAR","","750M",40,12,9.00000,9.00000,9900,1,1129,3,1129,11,3,10,80.0,,,"0000","088004020842",116.45,,,120,336,,,12,263,205,970,389,,,,,389,269,8.13,,1812.68,1353.55,8672.44,7434.79,6524.95,5495.88,1000,,,336,,18.00,50217,336,3,1
11296,"BENCHMARK 8 YEAR","","375M",60,24,9.00000,9.00000,9900,1,1129,3,1129,11,3,10,80.0,,,"0000","",107.47,,,,,,,,,,,,,,,,,,6.69,,,,,2467.86,,1787.04,1000,,,,,18.00,110316,,3,1
11297,"BENCHMARK 8 TRAV","","750T",45,12,9.00000,9.00000,9900,1,1129,3,1129,11,3,10,80.0,,,"0000","88004005436",116.45,,,,,,,,,,180,36,,,,,36,36,1.80,,,,1610.78,1610.78,1216.80,1216.80,1000,,,,,18.00,10517,,3,1
11298,"BENCHMARK 8 YEAR","","200M",80,48,9.60000,9.60000,9900,1,1129,3,1129,11,3,10,80.0,,,"0000","088004011109",121.84,,,47,,,,-1,,46,46,,,,,47,47,,3.90,,103.11,75.44,103.11,841.96,75.44,641.36,1000,,,,,18.00,32516,,3,1
11301,"Z BLANTONS BARREL","6 PER CASE","750M",40,6,4.50000,4.50000,9900,1,1130,3,1130,11,3,10,93.0,,,"0000","80244002039",286.72,,,222,,,,,,222,222,,222,,,,222,,,,9616.67,7382.24,9616.67,,7382.24,,1000,,,,,18.00,32517,,3,1
